time,apparent_temperature_max (°F),max_temperature,humidity,wind_speed_10m_max (km/h),precipitation_sum (mm),mean_temperature,date,pm25,city,pm25_lag_1,pm25_rolling_3,pm25_rolling_7
2022-11-20,70.7,77.7,29,10.0,0.0,56.6,2022-11-20,18.433333333333337,LA,16.254166666666666,23.98472222222222,23.057142857142857
2022-11-21,68.7,76.5,25,7.6,0.0,58.2,2022-11-21,28.866666666666664,LA,18.433333333333337,23.45277777777778,21.372023809523814
2022-11-22,68.5,76.0,26,13.1,0.0,58.4,2022-11-22,31.804166666666664,LA,28.866666666666664,21.184722222222224,21.997023809523807
2022-11-23,67.8,73.2,26,10.1,0.0,60.1,2022-11-23,36.6,LA,31.804166666666664,26.368055555555554,23.239880952380954
2022-11-24,72.0,80.3,23,18.9,0.0,61.6,2022-11-24,21.670833333333334,LA,36.6,32.42361111111111,26.808333333333334
2022-11-25,68.4,76.4,25,13.9,0.0,58.2,2022-11-25,21.7,LA,21.670833333333334,30.025000000000002,27.042857142857144
2022-11-26,67.5,71.7,39,13.0,0.0,58.6,2022-11-26,50.229166666666664,LA,21.7,26.65694444444445,25.047023809523807
2022-11-27,66.9,73.2,47,15.1,0.0,59.2,2022-11-27,54.775,LA,50.229166666666664,31.2,29.900595238095235
2022-11-28,62.1,64.6,80,13.0,0.9,57.2,2022-11-28,51.145833333333336,LA,54.775,42.23472222222222,35.092261904761905
2022-11-29,61.6,65.1,74,10.0,0.0,57.1,2022-11-29,21.258333333333333,LA,51.145833333333336,52.04999999999999,38.275
2022-11-30,57.4,62.0,73,17.1,0.7,55.0,2022-11-30,26.9875,LA,21.258333333333333,42.393055555555556,36.76845238095238
2022-12-01,55.4,58.2,75,12.0,0.8,54.9,2022-12-01,12.8875,LA,26.9875,33.13055555555555,35.39523809523809
2022-12-02,56.3,58.5,81,15.2,5.0,55.1,2022-12-02,21.575,LA,12.8875,20.377777777777776,34.140476190476186
2022-12-03,68.3,69.9,81,15.4,0.0,59.4,2022-12-03,44.8875,LA,21.575,20.483333333333334,34.12261904761905
2022-12-04,63.3,63.2,90,9.1,6.0,58.0,2022-12-04,47.75416666666666,LA,44.8875,26.450000000000003,33.35952380952381
2022-12-05,60.3,62.6,83,11.8,1.2,56.7,2022-12-05,30.27916666666667,LA,47.75416666666666,38.07222222222222,32.35654761904762
2022-12-06,58.3,61.9,77,12.4,0.3,53.5,2022-12-06,27.84166666666667,LA,30.27916666666667,40.97361111111111,29.375595238095237
2022-12-07,57.7,60.9,75,14.8,2.7,50.7,2022-12-07,39.1875,LA,27.84166666666667,35.291666666666664,30.316071428571426
2022-12-08,57.8,62.3,72,15.5,0.0,49.9,2022-12-08,35.75416666666667,LA,39.1875,32.43611111111111,32.058928571428574
2022-12-09,58.4,62.0,72,10.7,0.0,49.6,2022-12-09,41.3875,LA,35.75416666666667,34.26111111111111,35.32559523809524
2022-12-10,57.7,59.2,77,13.6,0.7,51.8,2022-12-10,46.48333333333333,LA,41.3875,38.776388888888896,38.155952380952385
2022-12-11,53.5,56.6,85,23.8,29.8,53.0,2022-12-11,9.608333333333333,LA,46.48333333333333,41.208333333333336,38.38392857142857
2022-12-12,50.2,53.6,81,15.9,6.2,46.0,2022-12-12,22.170833333333334,LA,9.608333333333333,32.49305555555556,32.93452380952381
2022-12-13,52.3,56.4,75,8.9,0.0,45.4,2022-12-13,8.25,LA,22.170833333333334,26.087499999999995,31.776190476190475
2022-12-14,55.1,59.5,68,9.7,0.0,47.5,2022-12-14,0.5833333333333334,LA,8.25,13.343055555555557,28.97738095238096
2022-12-15,57.5,61.3,61,9.5,0.0,51.2,2022-12-15,17.70416666666667,LA,0.5833333333333334,10.334722222222222,23.462500000000002
2022-12-16,58.5,63.4,57,6.9,0.0,51.3,2022-12-16,29.97083333333333,LA,17.70416666666667,8.845833333333333,20.883928571428573
2022-12-17,58.2,63.9,54,8.6,0.0,49.7,2022-12-17,33.15416666666667,LA,29.97083333333333,16.086111111111112,19.252976190476193
