time,apparent_temperature_max (°F),max_temperature,humidity,wind_speed_10m_max (km/h),precipitation_sum (mm),mean_temperature,date,pm25,city,pm25_lag_1,pm25_rolling_3,pm25_rolling_7
2022-11-17,58.2,61.9,72,10.8,0.0,47.3,2022-11-17,20.341666666666665,Sacramento,11.775,10.994444444444445,11.65
2022-11-18,56.2,66.7,58,23.8,0.0,50.0,2022-11-18,14.175,Sacramento,20.341666666666665,13.645833333333334,13.319047619047618
2022-11-19,55.1,61.2,43,15.6,0.0,49.0,2022-11-19,7.525,Sacramento,14.175,15.430555555555555,12.785119047619048
2022-11-20,57.1,62.1,66,10.9,0.0,45.6,2022-11-20,11.675,Sacramento,7.525,14.013888888888888,11.660714285714286
2022-11-21,56.5,60.5,66,9.0,0.0,46.3,2022-11-21,16.291666666666668,Sacramento,11.675,11.125,12.385714285714286
2022-11-22,58.0,61.4,68,8.7,0.0,46.0,2022-11-22,20.483333333333334,Sacramento,16.291666666666668,11.830555555555554,12.94345238095238
2022-11-23,59.3,63.2,71,9.8,0.0,47.1,2022-11-23,13.766666666666666,Sacramento,20.483333333333334,16.150000000000002,14.609523809523811
2022-11-24,62.9,66.9,70,11.3,0.0,49.8,2022-11-24,12.45,Sacramento,13.766666666666666,16.847222222222218,14.894047619047617
2022-11-25,62.1,65.7,65,11.2,0.0,48.7,2022-11-25,19.495833333333337,Sacramento,12.45,15.566666666666665,13.766666666666666
2022-11-26,60.3,66.7,57,11.0,0.0,51.6,2022-11-26,21.520833333333332,Sacramento,19.495833333333337,15.237499999999999,14.526785714285714
2022-11-27,59.0,63.7,64,10.5,0.0,48.6,2022-11-27,17.725,Sacramento,21.520833333333332,17.822222222222223,16.526190476190475
2022-11-28,59.1,62.8,66,13.6,0.0,48.8,2022-11-28,15.345833333333331,Sacramento,17.725,19.580555555555552,17.39047619047619
2022-11-29,53.2,58.0,48,14.3,0.0,47.1,2022-11-29,11.2,Sacramento,15.345833333333331,18.19722222222222,17.255357142857143
2022-11-30,51.1,58.0,67,13.0,0.0,44.3,2022-11-30,18.0625,Sacramento,11.2,14.756944444444443,15.929166666666669
2022-12-01,45.3,49.8,85,29.4,17.1,46.0,2022-12-01,8.804166666666667,Sacramento,18.0625,14.869444444444442,16.542857142857144
2022-12-02,46.7,53.2,81,13.0,0.0,39.4,2022-12-02,16.291666666666668,Sacramento,8.804166666666667,12.688888888888888,16.02202380952381
2022-12-03,47.5,48.8,93,10.0,29.4,41.5,2022-12-03,18.575,Sacramento,16.291666666666668,14.386111111111111,15.564285714285715
2022-12-04,52.0,55.7,89,16.3,13.4,48.0,2022-12-04,9.633333333333333,Sacramento,18.575,14.556944444444445,15.143452380952382
2022-12-05,50.8,55.1,87,18.2,6.1,49.0,2022-12-05,8.666666666666666,Sacramento,9.633333333333333,14.833333333333334,13.987499999999999
2022-12-06,53.6,56.6,86,10.2,0.1,46.7,2022-12-06,9.570833333333333,Sacramento,8.666666666666666,12.291666666666664,13.033333333333333
2022-12-07,50.9,55.0,84,9.9,0.0,43.7,2022-12-07,13.470833333333331,Sacramento,9.570833333333333,9.290277777777776,12.800595238095237
